,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201812100DEN,69.32,28.0,9.02,4.6,114.94000000000001,76.86,32.8,0.5307999999999999,86.6,0.4688,40.2,0.3014,26.0,0.7454,18.8,8.0,245.0,114.3,24.7,11.6,20.2,109.8,7.959999999999999,7.6,0.32080000000000003,27.8,0.4002,10.6,50.739999999999995,44.4,0.5641999999999999,11.62,12.8,58.8,0.5074,29.6,16.0,59.18000000000001,18.2,10.28,5.2,114.3,75.3,27.4,0.5382,68.2,0.4758,32.0,0.242,20.2,17.0,0.0,197.0,114.94000000000001,23.14,8.6,17.0,110.2,8.620000000000001,7.4,0.4034,25.6,0.34659999999999996,8.0,49.260000000000005,36.0,0.5808000000000001,11.6,10.8,42.6,0.5506,24.0,0.0,94.17999999999999,Home,DEN
201812140DEN,62.88000000000001,25.2,9.7,4.8,114.17999999999999,76.2,32.0,0.5128,87.2,0.45899999999999996,39.6,0.30600000000000005,26.6,0.7163999999999999,18.4,8.6,245.0,111.02000000000001,25.82,12.8,19.4,106.8,7.5200000000000005,7.2,0.294,25.6,0.38039999999999996,9.2,50.559999999999995,44.8,0.5448000000000001,11.84,13.2,61.6,0.5008,30.4,16.4,64.53999999999999,20.2,9.879999999999999,5.2,111.02000000000001,74.17999999999999,28.2,0.5396000000000001,67.8,0.47119999999999995,31.4,0.22880000000000003,19.0,16.6,0.0,197.0,114.17999999999999,23.8,8.6,17.2,109.6,8.82,7.6,0.43360000000000004,28.0,0.3568,9.0,49.440000000000005,36.8,0.5836,12.66,12.0,39.8,0.5534,22.4,0.0,94.28,Home,DEN
201812160DEN,54.3,21.4,10.3,5.2,115.28,75.46000000000001,32.8,0.49820000000000003,87.0,0.44880000000000003,38.6,0.2838,24.6,0.72,17.2,9.0,245.0,109.5,25.240000000000002,12.4,19.8,102.8,6.860000000000001,6.4,0.3106,27.0,0.3418,8.4,50.419999999999995,45.2,0.5298,10.6,11.4,60.0,0.5114,30.2,17.8,62.2,18.8,9.74,5.0,109.5,74.76,28.2,0.5314,67.4,0.46399999999999997,30.6,0.23879999999999998,19.8,16.8,0.0,197.0,115.28,24.54,9.2,15.8,108.0,8.220000000000002,6.8,0.41,25.8,0.3698,8.8,49.580000000000005,37.4,0.5752,11.139999999999999,10.2,41.6,0.522,21.8,0.0,91.74000000000001,Home,DEN
201812220LAC,49.42,18.8,10.82,5.8,118.23999999999998,71.1,29.8,0.46880000000000005,90.0,0.4236,37.8,0.2452,22.2,0.7555999999999999,16.6,9.6,240.0,107.1,27.779999999999994,14.2,19.2,100.2,7.859999999999999,7.4,0.32819999999999994,29.4,0.284,8.0,48.019999999999996,44.0,0.5064,10.299999999999999,11.2,60.6,0.5004,29.8,18.6,59.42,24.0,10.0,6.0,107.1,72.22,35.4,0.5416000000000001,84.6,0.47919999999999996,40.6,0.259,21.8,19.0,0.0,240.0,118.23999999999998,28.9,11.8,19.6,110.8,8.84,8.2,0.35019999999999996,29.4,0.3698,10.6,51.98,47.2,0.588,12.08,13.0,55.2,0.5414,30.0,0.0,93.5,Home,LAC
201812260SAS,53.7,19.8,7.159999999999999,4.0,116.82000000000001,73.26,30.0,0.4814,87.8,0.4242,37.0,0.24500000000000002,21.6,0.7243999999999999,15.4,10.2,240.0,105.34,24.580000000000002,12.4,17.0,99.4,8.6,8.2,0.3476,30.4,0.3282,10.0,47.04,42.4,0.514,10.959999999999999,11.8,57.4,0.47440000000000004,27.0,19.4,61.1,25.8,8.88,5.0,105.34,75.42,37.0,0.5542,85.4,0.4958,42.4,0.21939999999999998,18.6,15.6,0.0,240.0,116.82000000000001,26.740000000000002,10.6,19.0,110.4,8.36,7.8,0.33999999999999997,28.8,0.35819999999999996,10.0,52.96,47.6,0.5894,12.279999999999998,13.2,56.6,0.5733999999999999,32.4,0.0,94.34,Home,SAS
201812280DEN,53.3,20.0,6.6,3.8,114.74000000000001,71.28,29.6,0.46799999999999997,90.8,0.414,37.6,0.244,22.2,0.6462000000000001,14.4,11.4,240.0,103.97999999999999,26.160000000000004,13.6,17.0,99.4,10.0,9.6,0.3352,30.4,0.3208,9.8,46.3,43.2,0.4936,9.88,11.0,60.4,0.4584,27.8,20.2,64.7,27.2,7.62,4.6,103.97999999999999,73.84,38.4,0.5448000000000001,87.0,0.4864,42.4,0.1996,17.4,14.8,0.0,240.0,114.74000000000001,28.720000000000006,11.6,19.6,109.8,6.92,6.6,0.3354,29.0,0.363,10.2,53.7,50.0,0.579,13.239999999999998,14.6,58.0,0.5546,32.2,0.0,95.46000000000001,Home,DEN
201812290PHO,60.5,23.4,5.92,3.6,116.08,72.22,30.8,0.5122,88.0,0.4424,38.6,0.24800000000000005,21.6,0.6828000000000001,15.0,11.6,240.0,108.46,24.98,11.8,17.6,104.2,10.16,9.8,0.38520000000000004,33.6,0.35,12.0,47.22,42.6,0.5378000000000001,11.52,12.6,54.4,0.49079999999999996,26.6,21.4,62.74000000000001,27.2,8.36,4.4,108.46,75.02000000000001,36.2,0.5502,88.6,0.4928,43.8,0.19419999999999998,17.2,13.8,0.0,240.0,116.08,27.78,11.6,19.0,111.6,8.34,8.0,0.3172,28.0,0.374,10.2,52.779999999999994,47.8,0.5788,11.959999999999999,13.2,60.6,0.5506,33.6,0.0,95.9,Away,DEN
201901010DEN,66.42,26.4,5.4399999999999995,3.4,119.53999999999999,69.1,28.8,0.5267999999999999,89.0,0.4532,40.0,0.255,22.4,0.6986000000000001,15.8,15.6,240.0,112.44000000000001,25.2,12.2,18.6,108.6,9.9,9.6,0.3636,32.0,0.3914,12.8,45.44,41.0,0.5534000000000001,10.879999999999999,12.0,57.0,0.47919999999999996,27.2,18.6,67.44,30.2,8.68,4.8,112.44000000000001,74.8,36.8,0.5589999999999999,90.6,0.5006,45.4,0.205,18.6,14.2,0.0,240.0,119.53999999999999,30.9,12.8,20.0,115.6,8.28,8.0,0.3182,28.8,0.378,10.6,54.56,49.6,0.585,11.78,13.2,61.8,0.561,34.8,0.0,96.64,Home,DEN
201901030SAC,67.88,27.0,5.08,3.0,116.84,73.0,31.6,0.5408000000000001,87.4,0.46080000000000004,40.0,0.27080000000000004,23.4,0.6786000000000001,16.0,15.8,240.0,114.75999999999999,28.18,12.8,19.4,109.8,8.54,8.2,0.3872,33.6,0.40519999999999995,13.8,49.9,44.4,0.5650000000000001,11.74,13.0,53.8,0.4902,26.2,19.4,68.0,29.6,8.36,4.4,114.75999999999999,71.82000000000001,33.4,0.5474,90.2,0.4854,43.8,0.20139999999999997,18.2,13.0,0.0,240.0,116.84,27.0,11.6,20.0,111.8,7.92,7.6,0.3436,31.0,0.3618,11.2,50.1,45.0,0.5694,10.68,11.8,59.2,0.55,32.6,0.0,95.72,Away,DEN
201901050DEN,62.58,25.6,5.3,3.2,120.0,69.72,31.4,0.5516,85.8,0.4782,40.8,0.28300000000000003,24.0,0.7098000000000001,17.2,17.6,240.0,116.84,29.96,13.0,19.6,111.2,7.980000000000001,7.6,0.36920000000000003,31.4,0.391,12.4,50.3,44.4,0.5799999999999998,12.68,14.0,54.4,0.5277999999999999,28.4,18.8,66.96000000000001,29.8,9.02,4.8,116.84,70.03999999999999,30.6,0.5488,92.6,0.48419999999999996,44.8,0.1918,17.8,12.6,0.0,240.0,120.0,30.28,13.6,20.4,114.2,8.78,8.4,0.3488,32.4,0.371,12.0,49.7,44.2,0.5690000000000001,10.04,11.2,60.2,0.5443999999999999,32.8,0.0,95.12,Home,DEN
201901070HOU,62.9,26.2,6.279999999999999,3.2,123.34,75.11999999999999,32.6,0.5549999999999999,86.6,0.483,41.6,0.2832,24.2,0.7712,18.6,16.6,240.0,118.4,31.32,13.4,20.0,114.0,6.38,6.2,0.371,31.8,0.38,12.2,53.36,46.0,0.5894,13.219999999999999,14.8,54.8,0.5402,29.4,20.2,66.82000000000001,29.6,8.66,4.6,118.4,68.68,29.4,0.5742,90.8,0.49239999999999995,44.6,0.2412,21.2,15.2,0.0,240.0,123.34,24.880000000000003,11.2,21.0,118.8,9.32,9.0,0.4042,36.0,0.3956,14.4,46.64,40.6,0.5962,9.32,10.2,54.8,0.5511999999999999,30.2,0.0,96.3,Home,HOU
