,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201812090TOR,58.28,24.6,9.18,4.6,115.16,83.68,35.8,0.5444,90.6,0.4694,42.6,0.2682,24.4,0.7914,19.2,9,245,114.5,19.66,8.8,21.2,118,7.72,8,0.3846,34.8,0.3968,13.6,50.92,44.6,0.5808,10.84,12.4,55.8,0.5128,29,11.8,61.64,21.6,10.64,5.4,114.5,80.34,29.4,0.5752,71.4,0.454,34.2,0.269,20.4,14.4,0,197,115.16,16.32,6.4,16.8,118.8,6.46,5.8,0.4302,32.2,10.8,49.1,35.8,0.5984,11.56,10.2,39.2,0.5688,23.4,0,100.76,Away,MIL
201812190MIL,61.96,26,10.02,5.2,117.02,82.92,35.8,0.5486,91,0.4628,42.2,0.252,23,0.7702,17.8,9.6,245,114.42,19.84,9,20.6,117.8,7.34,7.6,0.4182,38,0.418,15.6,50.5,44.8,0.581,11.5,13.2,53,0.4964,26.6,14,59.46,20.8,9.66,4.6,114.42,80.16,30,0.5836,71,0.4586,34.4,0.2706,20.4,15.2,0,197,117.02,17.08,6.8,17,120.6,7.42,6.8,0.4066,30,11.4,49.52,36.8,0.6098,11.6,10.2,41,0.5354,23,0,100.64,Home,MIL
201812250NYK,61.94,25,11.08,6.2,109.4,81.26,38.8,0.5278,90.4,0.446,40.4,0.2676,24.2,0.7554,18.2,9.6,245,110.66,18.24,8.4,20.2,113.8,7.54,7.8,0.4446,40.2,0.3604,14.8,50.18,47.2,0.5622,11.18,12.8,50.2,0.5058,25.6,16.8,56.94,18.2,9.88,4.6,110.66,81.76,31.4,0.5326,73.2,0.4168,31.6,0.2464,18.8,14.2,0,197,109.4,18.74,8.6,17.6,112.6,6.86,6.2,0.3734,27.8,10,49.82,40,0.5626,11.6,10.4,45.4,0.467,21.6,0,100.54,Away,MIL
201812270MIL,60.08,24.2,11.12,6.4,109.24,78.58,37.8,0.5154,91.8,0.438,40.2,0.254,23.2,0.731,17,13.8,245,107.98,17.74,8.4,19.8,111.6,7.7,8,0.4064,37.2,0.3746,14.2,48.34,46.2,0.5466,10.46,12,54.6,0.48,26,15.8,55.4,18,10.94,5.8,107.98,82.26,32.8,0.525,75.6,0.4134,32.4,0.2176,17,13.4,0,197,109.24,21.42,9.8,16,113,5.84,5.2,0.3706,28.4,9.6,51.66,42.6,0.5554,12.06,11.2,47.2,0.4724,22.8,0,101.06,Home,MIL
201812290MIL,62.64,24.2,11.16,6.2,109.98,78.64,36.6,0.5136,88.8,0.4364,38.6,0.2766,24,0.7134,17,16.6,240,106.38,15.86,7.4,18.2,107.8,6.9,7,0.4056,35.8,0.3746,13.6,47.38,44,0.544,10.46,11.6,53,0.477,25,16.2,56.4,23.4,12.46,6.6,106.38,84.14,39,0.5178,93,0.4448,41.2,0.2072,19,15.6,0,240,109.98,21.36,10.2,20,111.6,6.12,6.2,0.406,37.8,13.6,52.62,49.2,0.5514,11.18,12.8,55.2,0.508,27.6,0,101.38,Home,MIL
201901050MIL,63.76,25.4,11.08,6,111.94,81.22,36.2,0.5332,87.8,0.456,39.8,0.3062,26.2,0.7046,18.6,17.4,240,108.66,13.78,6.4,20,111.6,7.4,7.6,0.3916,34.2,0.388,13.4,47.38,42.6,0.564,10.46,11.6,53.6,0.4992,26.4,18.6,58.6,24.4,8.66,4.8,108.66,86.22,39,0.5348,90.4,0.4606,41.4,0.259,23,18.8,0,240,111.94,18.78,8.8,19.8,115,6.62,6.8,0.4038,36.4,13.4,52.62,47.8,0.5742,11.76,13.4,54,0.5302,28,0,102.72,Away,TOR
201901070MIL,61.86,23.8,10.02,5.8,110.96,80.96,36.4,0.519,86.6,0.4464,38.4,0.327,27.8,0.7104,19.8,18.2,240,106.82,15.42,7.2,19.8,109,7.44,7.6,0.3862,33.2,0.3732,12.4,48.16,43.6,0.5536,10.52,11.6,53.4,0.493,26,19.6,58.24,24.6,9.9,5.4,106.82,84.58,38.4,0.5214,93,0.4532,42,0.221,20.2,16.6,0,240,110.96,19.04,9,20,113.2,6.5,6.6,0.3772,34.8,12.6,51.84,47.4,0.5576,11,12.6,58.2,0.5162,29.4,0,102.04,Home,MIL
201901110WAS,63.86,24.6,10.1,5.4,115.34,82.88,34,0.5268,86.6,0.4464,38.4,0.2888,24.4,0.7282,17.8,18.6,240,107.08,17.18,8,19.4,108.4,7.32,7.4,0.404,34.8,0.4006,13.8,48.72,42,0.5586,11.8,13,51.8,0.484,24.6,20.8,62.52,26.8,10.06,5.4,107.08,82.82,37.4,0.5606,90,0.4786,43,0.2266,20,16.2,0,240,115.34,17.12,7.2,18.4,116.8,7.74,7.8,0.3978,35.6,14.6,51.28,44.6,0.5926,11.68,13,54.4,0.5266,28.4,0,101.24,Home,WAS
201901190ORL,61.56,24.8,10.44,5.6,115.28,85.76,35.8,0.564,84.2,0.4828,40.6,0.291,24.2,0.7506,18,15.6,240,112.16,16.18,6.8,18.2,112.8,7.18,7.2,0.4106,34.6,0.3968,13.6,51.92,42.6,0.5952,12.52,13.6,49.6,0.5416,27,25.6,67.1,29,7.82,3.8,112.16,83.82,33.6,0.568,90,0.4828,43.4,0.2008,17.6,14,0,240,115.28,14.24,6,18.6,116,7.98,8,0.3978,35.6,15.2,48.08,39.6,0.5944,10.64,11.6,54.4,0.5234,28.2,0,100.56,Away,MIL
201901250MIL,57.94,23.2,9.78,5.4,111.32,85.7,37,0.54,86.4,0.4666,40.2,0.258,22.2,0.7494,16.6,16.4,240,109.16,18.24,8.2,18.6,109.6,6.8,6.8,0.4086,35.4,0.3622,12.6,52.5,45.2,0.5714,12.82,14.2,51,0.539,27.6,26.8,62.64,26.4,7.9,4,109.16,81.76,34.8,0.547,88.6,0.477,42.2,0.219,19,15.2,0,240,111.32,14.3,6.2,17.8,111.8,8.56,8.6,0.3612,31.6,12.2,47.5,41,0.5782,10.88,11.8,57,0.5284,30,0,100.48,Home,MIL
