,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,outcome,game_id
10,58.160000000000004,24.6,9.0,5.6,104.92,74.22,36.2,0.5352,89.0,0.4784,42.4,0.2488,21.8,15.0,2.2,240.0,106.9,23.419999999999998,10.4,20.2,110.0,8.5,8.8,0.2972,26.8,10.2,50.24,46.6,0.5598000000000001,14.88,17.2,62.2,0.5174,32.2,2.0,60.959999999999994,24.8,12.600000000000001,6.6,116.43999999999998,75.86,33.2,0.5212,86.2,0.4692,40.4,0.337,28.8,21.4,1.4,240.0,106.02000000000001,22.060000000000002,9.8,23.6,111.2,7.779999999999999,8.2,0.368,31.8,9.0,49.0,43.0,0.5630000000000001,15.8,18.6,54.4,0.5763999999999999,31.4,0.6,0,201811110LAL
11,67.33999999999999,29.0,11.360000000000001,6.8,109.67999999999999,80.62,36.4,0.5634,86.6,0.5,43.2,0.257,22.2,17.8,0.6,245.0,114.63999999999999,21.68,9.0,22.4,115.2,5.58,5.6,0.3054,26.6,11.0,52.379999999999995,45.4,0.5992,13.219999999999999,14.8,60.0,0.5357999999999999,32.2,2.2,60.779999999999994,24.6,12.18,6.2,111.16,73.85999999999999,33.4,0.5154,87.8,0.45899999999999996,40.2,0.2862,24.6,19.0,3.4,240.0,106.04,22.6,9.8,22.6,109.4,8.84,9.2,0.37459999999999993,33.0,10.0,48.900000000000006,43.2,0.5554,15.14,17.6,54.8,0.5516,30.2,1.2,0,201811130GSW
12,61.48,23.6,7.640000000000001,3.8,115.02000000000001,80.34,30.4,0.518,84.8,0.45339999999999997,38.4,0.27399999999999997,23.4,17.2,0.4,240.0,112.08000000000001,27.839999999999996,12.0,20.0,105.0,7.840000000000001,7.2,0.34619999999999995,29.4,11.0,52.3,42.4,0.5522,12.459999999999999,13.4,55.4,0.4934,27.4,1.8,58.94,23.0,9.680000000000001,5.2,110.4,74.28,34.0,0.49939999999999996,88.0,0.44420000000000004,39.0,0.2678,23.0,17.6,5.6,240.0,102.84,22.6,10.2,22.0,105.4,8.52,8.8,0.3738,33.0,9.8,48.760000000000005,44.2,0.5378000000000001,14.9,17.2,55.0,0.532,29.2,1.8,0,201811150DEN
13,55.44000000000001,20.4,13.040000000000001,5.2,103.8,81.52,34.2,0.5162,81.4,0.45680000000000004,37.0,0.2932,23.4,16.4,2.2,240.0,102.3,15.080000000000002,6.0,19.6,100.0,9.6,9.4,0.3322,27.0,9.6,49.06,40.2,0.5471999999999999,13.9,14.8,54.4,0.5038,27.4,3.2,60.7,22.6,8.3,4.4,115.47999999999999,72.85999999999999,33.6,0.47520000000000007,89.4,0.41739999999999994,37.2,0.284,24.8,18.8,6.6,240.0,101.46,24.259999999999998,11.8,22.8,103.6,7.4399999999999995,7.6,0.3946,35.4,10.4,48.17999999999999,45.4,0.5176000000000001,14.180000000000001,16.6,54.0,0.4968,26.8,1.8,0,201811170IND
14,59.54,21.4,6.58,3.8,111.47999999999999,73.88,34.8,0.46319999999999995,88.4,0.4082,36.0,0.28300000000000003,24.4,18.2,9.2,240.0,96.93999999999998,20.580000000000002,9.8,21.6,100.0,9.26,9.6,0.37859999999999994,33.6,9.8,47.22,44.6,0.5054000000000001,14.459999999999999,16.8,54.8,0.48,26.2,2.4,52.339999999999996,14.0,7.6,3.2,113.42,72.82000000000001,22.0,0.5244,58.2,0.414,27.2,0.30740000000000006,15.8,12.6,2.0,154.0,115.0,19.240000000000002,6.4,16.0,119.4,4.66,1.8,0.26680000000000004,15.6,6.0,48.68,28.4,0.573,10.020000000000001,6.4,42.6,0.4298,21.2,3.2,1,201811190ATL
15,62.98,23.8,7.779999999999999,4.6,111.08,71.58000000000001,33.0,0.46420000000000006,92.8,0.4062,37.8,0.21939999999999998,20.2,15.6,9.2,240.0,97.97999999999999,22.439999999999998,11.2,25.0,102.0,9.22,9.6,0.38300000000000006,35.6,10.8,46.2,44.2,0.5014,13.88,16.4,57.2,0.471,27.0,2.4,55.739999999999995,23.8,8.92,5.4,102.26,78.84,36.4,0.5144,92.4,0.46220000000000006,42.6,0.1898,17.8,14.2,2.4,245.0,105.06000000000002,22.240000000000002,10.0,21.0,109.0,9.8,10.2,0.3528,32.6,9.6,51.279999999999994,46.4,0.545,14.079999999999998,16.4,59.8,0.5529999999999999,33.0,7.8,1,201811210ATL
16,62.2,23.6,8.6,5.2,115.34,71.05999999999999,31.2,0.4652,92.4,0.41019999999999995,38.0,0.23079999999999998,21.2,16.2,7.2,240.0,99.23999999999998,21.16,11.0,24.6,102.4,9.1,9.4,0.38260000000000005,35.4,10.2,44.28000000000001,42.2,0.5032,12.64,14.8,57.0,0.4866,27.8,1.8,62.2,21.0,10.959999999999999,4.8,104.8,81.2,29.0,0.508,75.2,0.43879999999999997,32.8,0.23559999999999998,17.2,12.0,1.6,197.0,106.72,22.92,9.8,15.0,108.2,10.139999999999999,8.4,0.3466,26.8,7.8,51.0,38.8,0.5389999999999999,11.44,9.4,48.4,0.5280000000000001,25.0,1.8,1,201811230ATL
17,62.279999999999994,23.0,10.72,6.2,114.0,73.5,31.8,0.4556000000000001,90.8,0.40679999999999994,37.0,0.2686,24.0,18.0,5.0,240.0,95.96,19.16,10.0,26.2,101.0,8.92,9.4,0.39699999999999996,36.0,9.0,44.58,41.8,0.4978000000000001,13.6,16.0,54.8,0.5144,28.0,1.2,57.17999999999999,19.2,6.26,3.4,111.63999999999999,75.72,26.2,0.5189999999999999,72.8,0.5034,33.6,0.22880000000000003,15.8,12.8,3.2,197.0,109.94000000000001,19.86,7.4,13.4,111.2,8.3,6.4,0.3798,29.0,9.8,47.44,33.6,0.5576,11.24,10.0,43.8,0.5658000000000001,23.8,3.2,1,201811250ATL
18,55.0,20.0,10.6,6.4,109.54,76.97999999999999,35.0,0.45919999999999994,92.4,0.39479999999999993,36.4,0.24380000000000002,22.4,15.0,6.4,240.0,101.36,26.259999999999998,14.0,20.8,99.6,6.840000000000001,6.8,0.36900000000000005,34.0,11.8,49.7,49.0,0.48760000000000003,10.98,12.6,58.4,0.422,24.6,4.0,63.379999999999995,25.8,12.959999999999999,7.0,112.2,74.38000000000001,32.6,0.49959999999999993,91.2,0.4436,40.6,0.2334,20.8,15.6,2.6,240.0,102.83999999999999,18.560000000000002,8.8,26.4,107.2,8.58,9.0,0.38859999999999995,35.4,10.4,45.78,41.4,0.5336000000000001,13.14,15.2,55.8,0.546,30.2,0.6,0,201811270MIA
19,58.58,24.6,7.639999999999999,4.0,112.94000000000001,78.1,34.4,0.5646000000000001,87.2,0.48360000000000003,42.0,0.26899999999999996,23.2,18.2,3.8,240.0,117.17999999999999,19.4,8.0,17.8,116.2,7.459999999999999,7.4,0.4002,35.0,14.0,49.9,42.4,0.5988,10.82,11.8,52.2,0.5337999999999999,28.0,3.6,62.06,26.2,13.720000000000002,7.2,115.32000000000001,74.04,32.6,0.5292,89.8,0.46740000000000004,42.0,0.25139999999999996,21.8,17.2,3.2,240.0,107.84,21.240000000000002,9.8,26.4,112.4,8.22,8.6,0.39959999999999996,35.8,11.2,47.4,42.4,0.5658000000000001,14.12,16.4,54.0,0.5728,30.8,1.0,0,201811280CHO
20,56.96,24.4,8.32,5.2,98.6,78.38,39.0,0.48580000000000007,99.2,0.43499999999999994,43.0,0.189,18.6,12.4,2.4,240.0,106.47999999999999,26.26,13.8,21.0,108.6,7.44,7.6,0.3516,35.0,10.2,52.06,52.8,0.5072,10.14,12.0,64.2,0.5117999999999999,32.8,4.2,61.68000000000001,24.4,14.26,7.6,112.38,77.72,33.2,0.5088,88.2,0.44699999999999995,39.4,0.2612,22.4,17.6,6.6,240.0,103.7,21.020000000000003,9.8,23.8,107.4,9.219999999999999,9.6,0.41899999999999993,37.0,11.0,48.52,43.0,0.5486000000000001,14.979999999999999,17.4,51.2,0.5538,28.4,2.0,0,201811300OKC
