,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201710250GSW,62.925,26.75,12.175,6.5,115.94999999999999,80.275,32.75,0.53375,91.75,0.4615,42.5,0.23399999999999999,21.25,0.82075,17.5,1.25,240.0,114.25,26.475,12.25,20.75,115.75,8.725,8.75,0.42075,38.5,0.33899999999999997,13.25,51.725,45.0,0.5720000000000001,13.5,15.75,53.25,0.5449999999999999,29.25,1.25,66.725,28.0,11.075,6.0,114.25,73.525,33.75,0.58675,83.0,0.50575,41.75,0.3135,25.5,20.25,0.0,240.0,115.94999999999999,19.725,8.5,21.0,117.25,7.7,7.75,0.35775,29.75,13.5,48.275,42.25,0.62625,14.75,16.25,53.25,0.534,28.25,0.0,101.175,Home,GSW
201710270GSW,64.3,27.4,11.84,6.4,115.84,77.4,32.0,0.5312,92.8,0.45780000000000004,42.6,0.2326,21.4,0.8019999999999999,17.2,1.4,240.0,113.9,25.98,12.2,20.8,116.0,8.32,8.4,0.4046,37.4,0.36219999999999997,13.6,50.1,44.2,0.5672,13.12,15.4,55.4,0.5236,29.0,1.6,67.72,29.0,12.919999999999998,7.4,113.9,74.02000000000001,34.6,0.5768000000000001,85.4,0.5014000000000001,42.6,0.293,24.4,19.8,0.0,240.0,115.84,22.6,9.8,20.8,117.8,7.5,7.6,0.36619999999999997,31.4,12.8,49.9,44.4,0.6166,14.62,16.4,54.0,0.5536,29.8,0.0,101.74,Home,GSW
201710300LAC,66.61999999999999,29.2,12.459999999999999,7.0,114.93999999999998,76.08,31.8,0.5514,91.2,0.47759999999999997,43.6,0.26080000000000003,23.6,0.8186,19.2,2.0,240.0,118.44000000000001,28.54,13.0,22.2,119.8,8.179999999999998,8.2,0.3852,35.0,0.3856,13.4,51.220000000000006,44.8,0.5894,13.179999999999998,15.4,56.2,0.5359999999999999,30.2,2.4,62.65999999999999,26.4,10.7,6.2,118.44000000000001,71.46,32.8,0.5516,86.6,0.48440000000000005,41.8,0.31020000000000003,26.2,21.0,0.0,240.0,114.93999999999998,23.919999999999998,10.4,19.8,116.2,7.32,7.4,0.3494,30.4,11.6,48.779999999999994,43.2,0.595,13.580000000000002,15.4,56.2,0.5406,30.2,0.0,101.16,Away,GSW
201711020SAS,68.24,29.4,13.680000000000001,7.8,111.55999999999999,76.3,31.2,0.55,89.4,0.479,42.8,0.256,22.8,0.8086,18.4,2.4,240.0,117.68000000000002,26.8,12.0,21.6,116.6,9.32,9.2,0.36340000000000006,32.4,0.39780000000000004,12.6,50.84,43.2,0.5868,12.84,14.6,57.0,0.5276,30.2,3.4,62.28000000000001,25.0,12.040000000000001,7.0,117.68000000000002,73.2,32.2,0.5296,84.4,0.4708,39.6,0.3181999999999999,26.4,21.6,0.0,240.0,111.55999999999999,23.7,10.0,18.0,110.6,7.0600000000000005,7.0,0.33120000000000005,28.0,9.8,49.16,42.2,0.5784,13.680000000000001,15.2,56.4,0.5328,29.8,0.0,99.1,Away,GSW
201711060GSW,68.78,29.2,13.059999999999999,7.6,108.75999999999999,74.1,31.8,0.5391999999999999,89.2,0.4725999999999999,42.2,0.23279999999999998,20.8,0.7794,16.2,3.2,240.0,113.44000000000001,24.7,11.0,20.0,112.4,9.319999999999999,9.2,0.3356,30.0,0.3962,11.8,49.4,42.8,0.5698,13.440000000000001,15.2,59.2,0.5134000000000001,30.4,4.0,63.660000000000004,25.0,13.8,8.2,113.44000000000001,75.3,33.0,0.5094,86.4,0.4508,38.8,0.2772,23.8,20.2,0.0,240.0,108.75999999999999,25.9,11.4,17.2,107.8,7.88,7.8,0.3346,29.0,10.0,50.6,44.4,0.5588,13.580000000000002,15.2,57.4,0.5052,28.8,0.0,99.03999999999999,Home,GSW
201711080GSW,65.88,27.4,10.7,6.4,108.05999999999999,76.25999999999999,33.2,0.5271999999999999,88.8,0.4638,41.2,0.251,22.4,0.7382,16.6,3.6,240.0,109.3,21.139999999999997,9.4,19.6,110.2,10.08,10.2,0.3154,28.0,0.39080000000000004,11.2,48.3,42.6,0.5576,12.959999999999999,14.6,60.8,0.49379999999999996,30.0,5.0,64.2,26.0,14.1,8.6,109.3,78.85999999999999,35.2,0.5128,88.0,0.45220000000000005,39.8,0.2624,23.0,19.2,0.0,240.0,108.05999999999999,23.74,10.8,18.8,109.4,7.7,7.8,0.3518,31.0,10.6,51.7,46.0,0.5584,13.7,15.6,57.0,0.5182,29.2,0.0,100.97999999999999,Home,GSW
201711110GSW,65.56,27.4,9.32,5.6,110.0,80.32000000000001,32.4,0.5294,88.2,0.4688,41.4,0.24819999999999998,22.0,0.7327999999999999,16.2,3.2,240.0,107.92,21.759999999999998,9.6,19.2,109.6,10.6,10.8,0.30700000000000005,27.0,0.3856,10.6,49.46,42.0,0.5588000000000001,13.760000000000002,15.6,61.2,0.5032,30.8,4.4,62.779999999999994,25.6,13.38,8.2,107.92,78.24,34.6,0.5396000000000001,85.4,0.47240000000000004,40.2,0.2836,24.2,20.6,0.0,240.0,110.0,19.68,8.6,19.4,112.4,9.14,9.4,0.3376,28.8,11.4,50.54,43.2,0.5871999999999999,14.7,16.6,56.6,0.5154,28.8,0.0,101.76,Home,GSW
201711130GSW,65.38,25.2,7.619999999999999,4.6,109.38,79.14,32.2,0.49219999999999997,88.0,0.43600000000000005,38.4,0.2218,19.6,0.7571999999999999,14.8,3.8,240.0,99.64,16.660000000000004,7.6,18.2,101.4,11.0,11.2,0.3146,27.6,0.3516,9.8,46.339999999999996,39.8,0.525,13.720000000000002,15.4,60.4,0.47300000000000003,28.6,5.0,67.92,28.4,14.16,8.6,99.64,83.34,37.0,0.5462,85.8,0.48179999999999995,41.2,0.2502,21.4,18.4,0.0,240.0,109.38,20.86,9.2,19.6,111.8,9.14,9.4,0.3316,28.4,11.0,53.660000000000004,46.2,0.589,15.420000000000002,17.4,57.4,0.5312,30.2,0.0,101.75999999999999,Home,GSW
201711180PHI,61.42,24.2,5.58,3.4,113.47999999999999,80.16,32.4,0.4894,89.6,0.44220000000000004,39.8,0.22719999999999999,20.4,0.7771999999999999,15.8,4.0,240.0,101.2,19.46,8.8,17.8,103.8,9.74,10.0,0.29779999999999995,26.6,0.31239999999999996,8.4,47.82,41.2,0.5248,13.160000000000002,15.0,63.0,0.49399999999999994,31.4,6.2,68.66,30.2,12.74,8.0,101.2,80.54,36.4,0.5672,87.8,0.5005999999999999,43.8,0.23040000000000002,20.0,17.4,0.4,240.0,113.47999999999999,19.839999999999996,8.6,22.0,116.6,9.5,9.8,0.3362,29.4,11.6,52.17999999999999,45.0,0.6056000000000001,14.52,16.4,58.4,0.5542,32.2,15.2,102.46,Away,GSW
201711190BRK,61.35999999999999,26.2,9.360000000000001,5.0,114.05999999999999,81.3,35.2,0.5207999999999999,91.0,0.47220000000000006,43.0,0.23739999999999997,21.6,0.7752,16.6,3.6,240.0,106.52000000000001,19.0,8.6,19.2,111.4,9.16,9.6,0.2886,26.2,0.3342,8.8,49.02,43.8,0.5542,12.139999999999999,14.0,64.8,0.5257999999999999,34.2,8.0,70.28,31.0,9.84,6.4,106.52000000000001,81.0,36.6,0.5694000000000001,89.4,0.4986,44.2,0.25739999999999996,23.0,18.4,0.4,240.0,114.05999999999999,18.7,8.6,22.0,119.4,8.34,8.8,0.36360000000000003,32.6,12.6,50.980000000000004,45.2,0.6052,14.1,16.2,56.8,0.5544,31.6,15.2,104.66,Away,GSW
